creature,n_sessions,value_per_kill,min_v,max_v,sample_urls
Enslaved Dwarf,2,240,240,240,https://www.hunt-analyser.com/hunt_sessions/51253|https://www.hunt-analyser.com/hunt_sessions/51253
Lion Hydra,2,346,346,346,https://www.hunt-analyser.com/hunt_sessions/52064|https://www.hunt-analyser.com/hunt_sessions/52064
Bluebeak,2,346,346,346,https://www.hunt-analyser.com/hunt_sessions/52064|https://www.hunt-analyser.com/hunt_sessions/52064
Cyclops Drone,2,274,274,274,https://www.hunt-analyser.com/hunt_sessions/52082|https://www.hunt-analyser.com/hunt_sessions/52082
Cyclops Smith,2,274,274,274,https://www.hunt-analyser.com/hunt_sessions/52082|https://www.hunt-analyser.com/hunt_sessions/52082
Dwarf Soldier,2,274,274,274,https://www.hunt-analyser.com/hunt_sessions/52082|https://www.hunt-analyser.com/hunt_sessions/52082
Cyclops,2,274,274,274,https://www.hunt-analyser.com/hunt_sessions/52082|https://www.hunt-analyser.com/hunt_sessions/52082
Dragon,2,274,274,274,https://www.hunt-analyser.com/hunt_sessions/52082|https://www.hunt-analyser.com/hunt_sessions/52082
Young Sea Serpent,2,115,115,115,https://www.hunt-analyser.com/hunt_sessions/53327|https://www.hunt-analyser.com/hunt_sessions/53327
Sea Serpent,2,115,115,115,https://www.hunt-analyser.com/hunt_sessions/53327|https://www.hunt-analyser.com/hunt_sessions/53327
Bloodback,2,277,277,277,https://www.hunt-analyser.com/hunt_sessions/53352|https://www.hunt-analyser.com/hunt_sessions/53352
Stonerefiner,2,139,139,139,https://www.hunt-analyser.com/hunt_sessions/53399|https://www.hunt-analyser.com/hunt_sessions/53399
Corym Charlatan,2,139,139,139,https://www.hunt-analyser.com/hunt_sessions/53399|https://www.hunt-analyser.com/hunt_sessions/53399
Marsh Stalker,2,139,139,139,https://www.hunt-analyser.com/hunt_sessions/53399|https://www.hunt-analyser.com/hunt_sessions/53399
Feverish Citizen,2,139,139,139,https://www.hunt-analyser.com/hunt_sessions/53399|https://www.hunt-analyser.com/hunt_sessions/53399
Corym Skirmisher,2,139,139,139,https://www.hunt-analyser.com/hunt_sessions/53399|https://www.hunt-analyser.com/hunt_sessions/53399
Swampling,2,139,139,139,https://www.hunt-analyser.com/hunt_sessions/53399|https://www.hunt-analyser.com/hunt_sessions/53399
Yirkas Blue Scales,2,333,333,333,https://www.hunt-analyser.com/hunt_sessions/51711|https://www.hunt-analyser.com/hunt_sessions/51711
Crocodile,2,2594,880,2594,https://www.hunt-analyser.com/hunt_sessions/47754|https://www.hunt-analyser.com/hunt_sessions/50699
Hyaena,2,1384,1384,3638,https://www.hunt-analyser.com/hunt_sessions/50187|https://www.hunt-analyser.com/hunt_sessions/49066
Silverfrost Sentinel,2,1587,1587,2252,https://www.hunt-analyser.com/hunt_sessions/56613|https://www.hunt-analyser.com/hunt_sessions/56813
