hunt_id,slot,name,voc,voc_name,level,supplies,balance_m
43152,1,Rommin,EM,Exalted Monk,161,-156207,151646
43152,2,Druida Biel,ED,Elder Druid,181,-173464,-166951
43152,3,Chiles en Vinagre,EK,Elite Knight,156,-77737,81238
43568,1,Fae Nya,RP,Royal Paladin,556,-269163,187848
43880,1,Vure,EK,Elite Knight,606,-407175,2387677
43880,2,Jolyne Galhocaido,ED,Elder Druid,605,-309769,-151765
43904,1,Vure,EK,Elite Knight,607,-569978,3615237
43904,2,Jolyne Galhocaido,ED,Elder Druid,606,-492334,10087
44004,1,Vure,EK,Elite Knight,608,-648340,3957696
44004,2,Jolyne Galhocaido,ED,Elder Druid,608,-640788,-141422
44100,1,Cara Mell,ED,Elder Druid,630,-495717,225674
44100,2,Professor Hojo,EK,Elite Knight,633,-603909,3470756
44100,3,Off Target,RP,Royal Paladin,560,-882394,3459847
44269,1,Vure,EK,Elite Knight,609,-569601,3480560
44269,2,Jolyne Galhocaido,ED,Elder Druid,609,-399365,36695
44317,1,Vure,EK,Elite Knight,611,-635064,4159347
44317,2,Jolyne Galhocaido,ED,Elder Druid,611,-417671,37080
44407,1,Vure,EK,Elite Knight,612,-299864,2064857
44407,2,Jolyne Galhocaido,ED,Elder Druid,612,-193395,-38820
44487,1,Vure,EK,Elite Knight,613,-861542,6166570
44487,2,Jolyne Galhocaido,ED,Elder Druid,613,-524764,236496
44520,1,Jolyne Galhocaido,ED,Elder Druid,615,-195186,260874
44520,2,Vure,EK,Elite Knight,613,-394652,2819643
44528,1,Cara Mell,ED,Elder Druid,638,-505138,-134783
44528,2,Off Target,RP,Royal Paladin,576,-912553,3730783
44528,3,Professor Hojo,EK,Elite Knight,642,-564240,3541968
44547,1,Vure,EK,Elite Knight,616,-695191,3155240
44547,2,Jolyne Galhocaido,ED,Elder Druid,616,-347147,-242594
44547,3,Dierner,RP,Royal Paladin,570,-939186,639806
44738,1,Jolyne Galhocaido,ED,Elder Druid,619,-274419,-208199
44738,2,Vure,EK,Elite Knight,619,-412226,3298378
44738,3,Dierner,RP,Royal Paladin,575,-537994,1136031
44775,1,Vure,EK,Elite Knight,620,-515552,3689315
44775,2,Jolyne Galhocaido,ED,Elder Druid,620,-315560,-185565
44775,3,Dierner,RP,Royal Paladin,577,-650933,1519656
45059,1,Vure,EK,Elite Knight,623,-690404,4498679
45059,2,Jolyne Galhocaido,ED,Elder Druid,623,-414017,240503
45100,1,Vure,EK,Elite Knight,624,-634255,3846287
45100,2,Jolyne Galhocaido,ED,Elder Druid,624,-387889,135551
45127,1,Vure,EK,Elite Knight,626,-935324,8891476
45127,2,Jolyne Galhocaido,ED,Elder Druid,626,-669493,574983
45156,1,Jolyne Galhocaido,ED,Elder Druid,629,-251206,382439
45156,2,Vure,EK,Elite Knight,628,-391631,4253976
45156,3,Schele schutter,RP,Royal Paladin,627,-415517,-415517
